isin,Basic Materials,Consumer Discretionary,Consumer Staples,Corporate,Covered,Energy,Financials,Government,Health Care,Industrials,Real Estate,Securitised,Technology,Telecommunication,Utilities,Liquidity,Supranational,Other
DE000A0D8Q49,5.6084,6.2976,13.63,,,10.198,26.1438,,5.4281,1.7908,,,3.2806,5.7228,21.5823,0.3177,,
DE000A0D8QZ7,8.6206,7.8455,5.7578,,,3.8274,21.1285,,5.6193,22.0255,6.6288,,7.648,5.4223,4.6996,0.7768,,
DE000A0F5UE8,3.2792,29.488,0.6434,,,4.3655,30.4346,,6.2123,2.024,1.5353,,6.5891,15.1349,,0.2938,,
DE000A0F5UF5,0.9511,10.7696,6.169,,,0.5203,0.2113,,3.8356,3.4277,,,58.873,13.9822,1.1632,0.097,,
DE000A0F5UG3,5.9787,7.0088,4.6131,,,1.6638,31.299,,5.4428,25.5059,1.1661,,5.5948,1.4564,9.8473,0.4234,,
DE000A0F5UH1,4.614,8.8642,4.9338,,,7.385,44.2391,,1.8832,9.0249,6.0678,,2.259,2.8029,6.8989,1.0271,,
DE000A0F5UJ7,,,,,,,99.2678,,,,,,,,,0.7323,,
DE000A0F5UK5,96.3289,,,,,,,,,2.2626,,,,,,1.4084,,
DE000A0H0728,,,,,,,,,,,,,,,,,,
DE000A0H0744,15.6053,9.7546,4.7916,,,5.4508,33.0092,,3.3461,7.3731,9.1923,,1.6214,4.2151,4.2832,1.3575,,
DE000A0H0785,,,,99.9545,,,,,,,,,,,,0.0455,,
DE000A0H08D2,4.0226,16.1304,3.3438,,,0.3254,3.2731,,5.8451,17.5793,1.1362,,35.5085,12.5436,0.1565,0.1354,,
DE000A0H08E0,88.1236,,5.4449,,,,,,,6.1095,,,,,,0.322,,
DE000A0H08F7,23.3387,,,,,,,,,75.3253,,,,,1.2253,0.1106,,
DE000A0H08G5,,,,,,,98.7526,,,0.6348,,,,,,0.6126,,
DE000A0H08H3,3.5628,,95.8325,,,,,,,,,,,,,0.6047,,
DE000A0H08J9,1.2365,,,,,0.6173,2.3441,,,94.6043,,,0.9455,,,0.2524,,
DE000A0H08K7,,,,,,,99.4083,,,,,,,,,0.5917,,
DE000A0H08L5,,14.7858,,,,4.4095,,,,,,,,80.4319,,0.3727,,
DE000A0H08M3,,,,,,80.3199,,,,17.1831,,,,,1.729,0.768,,
DE000A0H08N1,,47.2394,51.5001,,,,,,,0.3907,,,,0.4954,,0.3744,,
DE000A0H08P6,,89.1132,,,,,,,,6.5855,,,,,4.0642,0.2372,,
DE000A0H08Q4,,8.7828,,,,,,,,6.8492,,,82.4329,1.7733,,0.1619,,
DE000A0H08R2,,,,,,,,,,0.7972,,,19.5973,79.267,,0.3384,,
DE000A0H08S0,,68.6627,,,,,,,,30.9377,,,,,,0.3996,,
DE000A0Q4R02,,,,,,,,,,,,,,,99.6318,0.3682,,
DE000A0Q4R28,,99.8032,,,,,,,,,,,,,,0.1968,,
DE000A0Q4R36,1.18,3.03,,,,,0.24,,94.61,0.45,,,,,,,,0.49
DE000A0Q4R44,,,,,,,,,,,96.1468,,,2.8984,,0.9548,,
DE000A0Q4R69,3.7167,4.4859,0.8408,,,,26.071,,8.6754,27.9928,1.1826,,16.4268,6.6538,3.8008,0.1533,,
DE000A0Q4R85,13.9467,2.5559,4.5957,,,17.8586,38.1066,,1.1022,7.6171,,,,1.4035,11.3135,1.5003,,
DE000A0Q4RZ9,,,,,,,,99.9372,,,,,,,,0.0628,,
DE000A0S9GB0,,,,,,,,,,,,,,,,,,
DE000A1E0HR8,,,,,,,,,,,,,,,,,,
DE000A1E0HS6,,,,,,,,,,,,,,,,,,
DE000A1EK0G3,,,,,,,,,,,,,,,,,,
DE000A1EK0H1,,,,,,,,,,,,,,,,,,
DE000A1EK0J7,,,,,,,,,,,,,,,,,,
DE000A27Z304,,,,,,,,,,,,,,,,,,
DE000A28M8D0,,,,,,,,,,,,,,,,,,
DE000A2QP323,,,,,,0.5219,,,24.503,8.4074,,,47.0601,19.0245,,0.4831,,
DE000A2QP331,4.5465,6.3553,1.0226,,,,22.1165,,6.4977,33.6786,0.7562,,14.5984,5.8849,4.496,0.0472,,
DE000A2QP349,16.8251,19.2694,,,,,8.1155,,3.7321,29.3775,4.5291,,11.9107,6.1865,,0.0541,,
DE000A2QP372,,,,,,,99.5076,,,,,,,,,0.4924,,
DE000A2QP380,,8.0163,3.7929,,,5.4351,53.2454,,2.7629,12.1982,,,,5.6911,7.7578,1.1003,,
DE000A2QP398,,8.7828,,,,,,,,6.8492,,,82.4329,1.7733,,0.1619,,
DE000A2QP4A8,,99.8032,,,,,,,,,,,,,,0.1968,,
DE000A2QP4B6,5.6347,6.4626,7.6962,,,5.7374,26.4345,,11.7996,18.6675,1.0301,,8.5785,2.8029,4.5833,0.5728,,
