isin,Basic Materials,Consumer Discretionary,Consumer Staples,Corporate,Covered,Energy,Financials,Government,Health Care,Industrials,Real Estate,Securitised,Technology,Telecommunication,Utilities,Liquidity,Supranational,Other
IE0009F7UB30,,,,,,,,,,,,,,,,,,
IE0009HF1MK9,3.6653,8.4966,4.6021,,,4.1028,16.8546,,8.1867,10.3599,,,31.8713,8.0135,,,,3.8473
IE0009IAUUI1,3.76,4.52,6.68,,,6.34,40.0,,5.09,7.55,,,10.54,6.69,8.83,,,
IE0009JOT9U1,,,,,,,,,,,,,,,,,,
IE0009OCO2W4,1.82,7.61,8.56,,,4.33,16.55,,11.23,8.73,,,35.89,2.28,1.62,,,1.39
IE0009QS7W62,,0.26,0.57,,,,0.03,,98.73,0.04,,,,,,,,0.37
IE0009SJ3GE3,,,,,,100.0,,,,,,,,,,,,
IE0009TJ5T70,3.47,5.57,9.74,,,1.56,18.82,,9.03,9.5,,,39.12,0.46,2.46,,,0.27
IE0009TPHUV6,0.35,,,,,58.04,,,,27.72,,,,,11.08,,,2.82
IE0009VWHAE6,1.541,9.0631,3.7905,,,3.7301,11.4431,,9.3826,8.6849,1.2423,,38.2106,10.1553,1.7267,1.03,,
IE0009W21NT4,3.91,7.06,6.95,,,2.73,17.99,,9.92,10.45,,,37.2,1.71,1.67,,,0.42
IE0009WMIIC0,,,,,,,,100.0,,,,,,,,,,
IE0009WWNY77,2.34,4.99,9.02,,,2.56,12.5,,9.04,8.73,,,47.56,1.26,1.9,,,0.1
IE0009WYJCP8,2.5027,9.4405,4.9428,,,3.51,17.8234,,10.6492,13.0958,,,29.4368,6.9812,0.6011,0.9455,,0.0712
IE0009XKZC98,2.5052,10.9401,11.6612,,,2.8076,44.9824,,,8.8338,2.4506,,3.2949,5.2297,7.247,0.0475,,
IE0009Y1MQJ2,2.7991,5.9418,3.0078,,,3.7041,19.2927,,7.7224,11.4703,1.865,,31.7471,9.113,2.819,0.5177,,
IE0009YQE5W1,6.11,5.34,14.19,,,12.29,27.07,0.38,10.84,12.84,,,4.33,1.56,4.02,,,1.03
IE0009ZTL4B5,,,,,,,,,,,,,,,,,,
IE000A0GH076,3.4644,8.7983,4.8883,,,4.0935,16.5492,,9.2548,11.102,,,29.7566,7.886,2.3912,0.1819,,1.6338
IE000A0RC215,2.7,8.15,6.62,,,5.54,36.54,,9.15,8.06,,,12.48,3.91,6.86,,,
IE000A2E14U6,,,,,,,,100.0,,,,,,,,,,
IE000A2YGZU5,0.9497,10.7159,6.1128,,,0.5292,,,3.8307,3.399,,,59.2685,13.8148,1.1759,,,0.2033
IE000A537EY2,,,,,,,,,,,,,,,,,,100.0
IE000A7N3IV0,4.03,5.84,8.5,,,3.25,19.13,,8.07,9.78,,,36.13,1.55,2.46,,,1.26
IE000A89Y2G7,,,,,,2.14,,0.33,,2.79,,,,,94.66,,,0.08
IE000A8N67F3,2.44,8.49,4.18,,,2.47,13.91,,10.22,8.05,2.14,,39.59,7.15,1.28,0.08,,
IE000A9G9R73,1.74,0.26,,,,,,,,63.39,,,11.67,18.81,,,,4.13
IE000A9QKUV7,8.31,6.52,10.86,,,7.79,20.16,,13.25,9.62,,,9.72,3.63,9.16,,,0.98
IE000A9QV382,,,,,,,,99.9669,,,,,,,,0.0331,,
IE000AALNYM3,4.33,9.57,6.01,,,,38.63,,14.65,7.48,,,8.05,4.94,3.46,,,2.88
IE000AD2AYN2,5.25,9.58,9.28,,,1.22,25.18,0.45,9.19,15.26,,,1.3,9.87,13.4,,,0.04
IE000AEBAUD0,,,,,,,,,,,,,,,,,,
IE000AEM1K78,,,,,,,,,,,,,,,,,,
IE000AES5KQ5,,,,,,,,100.0,,,,,,,,,,
IE000AFVKJZ0,,,,,,,,,,,,,,,,,,
IE000AFVONT7,,,,,,,,,,,,,,,,,,
IE000AGCIYE6,1.38,0.7,1.13,,,2.69,26.06,39.39,1.01,3.94,,,2.15,1.94,3.82,,,15.8
IE000AGH5ZI1,9.67,16.37,3.05,,,10.68,18.45,0.04,4.95,18.88,,,4.13,7.72,6.02,,,0.05
IE000AI6QNJ5,,,,,,,,100.0,,,,,,,,,,
IE000AIFGRB9,,,,,,99.58,,,,0.4,,,,,,0.02,,
IE000AK4O3W6,3.65,6.84,4.39,,,0.03,60.83,1.24,5.95,8.09,,,3.1,4.26,1.5,,,0.12
IE000ALCW221,2.24,3.89,5.38,,,,24.61,,9.04,9.91,,,40.23,0.99,3.44,,,0.27
IE000ALI2E45,7.3964,8.542,7.2591,,,,20.205,,9.3397,19.426,4.3717,,11.7457,3.4887,5.2451,0.0236,,2.957
IE000AN258G4,15.5549,9.7171,4.7864,,,5.4301,32.9503,,3.328,7.3095,9.1576,,1.6034,4.1499,4.2553,1.7574,,
IE000AN3AFZ1,8.68,3.58,7.45,,,11.27,18.42,,7.77,25.17,,,14.39,0.28,,,,2.99
IE000ANHU3J3,4.0,3.94,7.21,,,,26.32,,4.04,5.23,,,43.98,2.26,2.37,,,0.65
IE000ANMCD25,,,,,,,,,,65.07,,,7.99,15.14,,,,11.8
IE000ANOU8J3,,,,,,,4.8006,,,,,,,,,0.0924,,95.1071
IE000ANYHV73,,9.81,0.13,,,,,,,2.45,,,71.3,16.3,,,,0.01
IE000AON7ET1,,4.85,4.61,,,,,,,50.92,,,28.82,2.25,,,,8.55
IE000AP27VA7,4.49,5.07,10.41,,,0.44,15.89,,14.4,9.5,,,22.3,8.18,7.15,,,2.17
IE000APK27S2,0.53,1.25,0.75,,,0.01,16.88,64.91,1.35,1.8,,,1.44,1.11,2.13,,,7.84
IE000AQ7A2X6,0.58,1.1,1.02,,,1.55,18.45,58.68,1.14,5.38,,,1.46,1.07,2.38,,,7.2
IE000ARLR807,5.54,23.48,1.85,,,,26.68,,9.91,12.06,,,10.69,6.4,1.41,,,1.98
IE000ASNLWH9,,,,,,,,,,,,,,,,,,
IE000ATQR3N3,4.0986,7.5329,5.1952,,,,18.9211,,9.7396,11.118,2.1475,,29.9531,7.976,3.5905,-0.3702,,0.0976
IE000ATRYEA4,1.9228,9.192,5.6323,,,,13.1901,,10.3242,10.0481,1.9949,,37.2272,9.126,1.1129,0.2295,,
IE000AV35A01,4.0,3.94,7.21,,,,26.32,,4.04,5.23,,,43.98,2.26,2.37,,,0.65
IE000AVUROO8,,,,,,,,,,,,,,,,,,
IE000AWRDWI7,3.46,1.09,,,,,8.83,,5.09,29.69,,,47.95,3.81,,0.1,,
IE000AWT6D61,1.516,9.2615,13.5531,,,5.5678,37.5353,0.1607,,7.0481,2.1964,,11.1109,5.4874,5.5082,1.0545,,
IE000AXIKJM8,,3.91,2.12,,,,24.34,,6.56,2.87,,,58.2,,1.7,,,0.3
IE000AXUR1L9,,,,,,,,,,,,,,,,,,
IE000AY2ERH5,,,,,,,,,,,,,,,,-4.0772,,104.0772
IE000AY6KP29,2.1497,9.2847,5.4178,,,4.3449,14.8598,,11.0481,9.9342,2.1607,,30.3055,7.9377,2.4318,0.125,,
IE000AYEFBK6,9.49,24.83,3.46,,,3.87,17.01,3.67,8.42,16.74,,,5.32,3.8,3.39,,,0.02
IE000AYJ75E5,9.92,7.93,4.3,,,2.24,44.21,,9.06,8.51,,,3.19,6.37,4.25,,,
IE000AZ2HZ31,9.81,10.58,5.39,,,4.5,23.31,,10.54,17.41,,,11.93,0.86,2.41,,,3.28
IE000AZOUN82,3.49,4.45,2.55,,,1.3,29.61,,2.92,9.91,,,43.04,0.63,2.06,,,0.04
IE000AZV0AS3,5.7679,5.3243,3.3926,,,,20.8299,,14.0585,7.8522,2.1316,,31.5685,7.0974,,,,1.9772
IE000B1A2798,,,,,,,,100.0,,,,,,,,,,
IE000B4EDHL6,2.35,8.94,5.86,,,6.3,32.8,0.21,10.46,9.15,,,13.91,4.52,5.49,,,
IE000B5MAME7,3.76,5.71,8.7,,,3.29,18.69,,9.25,11.12,,,34.52,1.35,2.55,,,1.06
IE000B5UZSG9,6.45,10.08,5.76,,,1.78,22.59,,5.16,19.04,,,23.99,4.7,0.46,,,
IE000B8VAQZ8,7.43,19.83,1.35,,,,25.23,,9.5,12.99,,,7.82,10.55,2.25,,,3.05
IE000B9PQW54,,,3.31,,,,,,95.39,,,,1.3,,,,,
IE000BAF6X29,8.76,8.18,6.45,,,0.36,54.43,,6.18,10.18,,,2.9,2.17,0.25,,,0.16
IE000BHH6TY7,1.82,7.61,8.56,,,4.33,16.55,,11.23,8.73,,,35.89,2.28,1.62,,,1.39
IE000BI0GCN3,,,,,,,,99.9653,,,,,,,,0.0347,,
IE000BI8OT95,3.4091,8.5434,4.8389,,,4.2218,16.4553,,9.0877,11.0209,,,30.3468,8.0664,,,,4.0099
IE000BKMMHF9,8.76,8.18,6.45,,,0.36,54.43,,6.18,10.18,,,2.9,2.17,0.25,,,0.16
IE000BLN64M9,,,,,,,,,,,,,,,,,,
IE000BLXGTG9,3.11,8.04,7.45,,,1.49,35.77,,5.14,15.41,,,13.03,2.44,6.92,,,1.2
IE000BMDG046,2.44,8.62,6.73,,,4.94,40.94,,8.74,7.68,,,11.15,3.4,5.37,,,
IE000BMP9YJ5,,,,,,,,,,,,,,,,0.7105,,99.2895
IE000BMZP0I6,,,,,,14.6514,,,,34.8018,,,0.4776,,49.4853,0.5839,,
IE000BNLRWE6,,,,,,,,,,,,,,,,,,
IE000BO2Y0T8,5.8317,1.7251,3.6197,,,4.1319,23.3294,,12.6202,32.3584,,,6.5782,7.8909,1.4584,,,0.4561
IE000BRM9046,,1.4,,,,2.37,,,3.35,69.11,,,20.61,3.12,,0.03,,
IE000BRX9DZ0,3.5644,8.439,4.4055,,,4.3792,17.1722,,8.4912,10.5626,1.2766,,31.815,7.8388,2.0555,,,
IE000BS9KP42,,,,,,,,,,,,,,,,,,
IE000BUIVY49,5.8,6.74,5.39,,,4.08,47.55,1.44,7.01,7.21,,,4.76,4.39,6.72,,,
IE000BUSGFL9,13.53,17.53,5.18,,,0.92,21.22,3.65,2.73,17.65,,,2.13,8.79,6.66,,,0.01
IE000BVD0KE7,,,,,,,,,,,,,,,,,,
IE000BW2B3J3,25.99,,0.61,,,15.18,,,,40.31,,,,,11.61,,,6.3
IE000BWITBP9,0.55,2.31,2.25,,,2.27,19.98,61.01,2.87,2.62,,,5.65,0.25,1.39,,,
IE000BWKUES1,,,,,,,,,,,,,,,,,,
IE000BXC49I6,2.09,4.43,7.03,,,,25.22,,11.8,7.65,,,36.88,1.21,1.73,,,1.96
IE000BZ1HVL2,3.3621,8.5649,4.8648,,,4.2413,16.524,,9.0865,10.9953,1.5807,,30.214,8.1402,2.424,,,
IE000BZFW5H7,2.78,6.76,8.25,,,2.08,13.77,,8.87,7.29,,,44.12,1.08,2.84,,,2.16
IE000BZXJJ24,3.74,8.77,7.77,,,7.99,27.05,0.54,11.57,6.88,,,14.97,5.59,5.14,,,
IE000C17QP01,7.43,19.83,1.35,,,,25.23,,9.5,12.99,,,7.82,10.55,2.25,,,3.05
IE000C1SVLJ9,7.43,19.83,1.35,,,,25.23,,9.5,12.99,,,7.82,10.55,2.25,,,3.05
IE000C5H8FC1,,,,,,,,,,,,,,,,,,
IE000C5Q64P6,2.35,8.94,5.86,,,6.3,32.8,0.21,10.46,9.15,,,13.91,4.52,5.49,,,
IE000C5YJ791,1.8473,8.8421,5.2414,,,2.8218,12.4365,,9.7414,8.6786,1.6812,,36.7044,9.7151,2.0899,0.2003,,
IE000C692SN6,10.49,10.45,5.02,,,2.86,25.34,,11.3,16.78,,,15.12,1.01,1.27,,,0.36
IE000C6ITGC8,2.8668,5.493,,,,,,,,3.7466,,,66.2913,21.3268,,0.2756,,
IE000C75IMX8,,,,,,,99.53,,,,,,,,,,,0.47
IE000C7DDDX4,14.05,3.55,2.63,,,14.27,43.71,,3.56,3.0,,,1.68,8.75,4.8,,,
IE000C7EUDG1,7.1,,0.54,,,,,,,86.91,,,5.93,,,,,
IE000CBYU7J5,6.06,5.55,6.73,,,2.65,22.14,,3.02,7.28,,,42.67,2.23,1.56,,,0.34
IE000CCQKON9,,,,,,,,,,,,,,,,,,
IE000CEUZ052,,,,,,,,,,,,,,,,,,
IE000CFH1JX2,5.7996,0.6369,,,,1.9677,,,,41.6346,0.1917,,1.2536,,48.0796,0.4362,,
IE000CH3OQ51,2.0,9.1,4.6,,,3.4,12.4,,9.4,9.0,1.8,,36.6,9.5,2.1,0.01,,
IE000CK5G8J7,,,,,,16.5718,0.0162,,,22.2833,4.0999,,0.3366,2.0398,53.9836,0.6688,,
IE000CL68Z69,2.735,8.0409,,,,,17.4259,,10.0645,8.3491,6.3742,,35.2948,7.8494,3.1612,,,0.705
IE000CLH1Z98,3.63,7.78,5.44,,,3.3,53.14,,5.54,9.09,,,2.26,3.73,5.95,,,0.15
IE000CM02H85,5.46,0.53,0.81,,,0.11,11.86,,0.66,2.6,,,76.75,1.22,,,,
IE000CN8T855,2.58,5.56,9.3,,,2.07,14.32,,8.85,8.01,,,44.49,0.84,2.17,,,1.81
IE000CNSFAR2,3.4091,8.5434,4.8389,,,4.2218,16.4553,,9.0877,11.0209,,,30.3468,8.0664,,,,4.0099
IE000CO3P697,,,,,,,,,,,,,,,,,,
IE000CO65C82,4.09,4.6,4.8,,,5.36,15.79,,19.8,9.59,,,15.35,2.66,3.73,,,14.25
IE000COQKPO9,1.27,10.86,5.22,,,,0.19,,3.58,2.34,,,65.04,11.21,0.21,0.09,,
IE000CPG9HG3,,,,,,,,,,,,,,,,,,
IE000CPT8DH7,1.895,9.2544,4.4301,,,3.5716,12.1286,,9.3924,8.5348,,,37.3693,9.5678,1.9436,0.1757,,1.7367
IE000CQMYME2,10.2,22.16,1.64,,,9.79,7.78,0.89,6.5,21.45,,,7.69,3.39,4.4,,,4.11
IE000CQQ22C8,4.87,6.53,11.77,,,4.05,24.49,,13.71,8.61,,,19.12,1.22,3.51,,,2.12
IE000CR3ZDF9,0.8,1.07,0.99,,,0.01,27.97,62.51,1.32,2.27,,,0.69,1.41,0.83,,,0.13
IE000CR424L6,6.3755,6.4089,8.9308,,,,26.7276,,11.7887,19.7535,1.2592,,10.6136,3.5381,3.9787,0.6253,,
IE000CR7DJI8,2.0905,4.3889,4.9189,,,3.081,13.3332,,11.5512,8.5068,2.1843,,37.3028,11.0488,1.341,0.2525,,
IE000CV0WWL4,,,,,,,,,,,,,,,,,,
IE000CVOSY02,3.85,5.72,8.37,,,3.26,18.83,,8.72,11.03,,,35.48,1.26,2.49,,,1.0
IE000CVUM3N6,4.69,6.04,8.15,,,3.39,19.02,,8.08,10.97,,,32.99,1.31,2.41,,,2.95
IE000CWS09Q9,2.36,13.97,9.85,,,4.71,31.55,,12.37,10.68,,,10.38,1.45,2.52,,,0.16
IE000CWXN435,0.15,4.58,4.15,,,1.29,43.31,10.42,1.39,7.88,,,4.56,2.48,6.28,,,13.52
IE000CXLGK86,5.0727,8.976,6.4838,,,4.5213,16.0042,,12.9489,15.8774,5.47,,14.6886,3.9785,5.7755,,,0.2031
IE000CXVOXQ1,4.02,7.87,8.52,,,0.3,9.88,,17.0,12.33,,,32.21,2.41,0.3,,,5.16
IE000CY30YV9,8.68,2.43,2.58,,,11.48,19.9,,10.4,11.36,,,27.98,1.02,0.53,,,3.64
IE000CYC2B65,4.1,5.65,8.39,,,3.41,18.94,0.09,8.27,10.44,,,35.57,1.42,2.41,,,1.32
IE000CYGD0V1,4.0,3.94,7.21,,,,26.32,,4.04,5.23,,,43.98,2.26,2.37,,,0.65
IE000CYTPBT0,,,,,,,,,,,,,,,,,,
IE000CZJPCH1,8.85,17.29,7.43,,,1.14,21.01,2.05,7.95,16.05,,,2.77,9.92,5.43,,,0.13
IE000CZQJXB8,,,,,,,,,,,,,,,,1.3078,,98.6922
IE000CZU3JH0,2.4,4.43,9.23,,,2.21,14.3,,9.34,9.24,,,43.61,1.36,2.38,,,1.5
IE000D0T0BO1,6.57,10.92,8.26,,,0.83,21.53,,5.19,19.55,,,21.91,3.93,1.3,,,
IE000D1017N2,2.61,10.87,4.34,,,3.94,24.95,,5.93,8.76,,,20.29,2.04,0.36,,,15.91
IE000D1DAPO5,,,,,,,,,,,,,,,,,,100.0
IE000D2UDLG6,,,,,,,,100.0,,,,,,,,,,
IE000D352U62,12.35,5.99,3.76,,,11.69,38.55,0.08,1.28,5.7,,,3.34,7.38,8.63,,,1.25
IE000D3BWBR2,2.21,5.32,8.96,,,2.3,14.05,,9.01,8.97,,,44.88,0.85,2.18,,,1.38
IE000D3E0G47,1.72,7.38,2.15,,,8.72,30.78,4.69,1.1,12.46,,,5.49,2.76,5.6,,,17.16
IE000D5R9C23,1.7554,6.0347,0.6184,,,1.4765,14.8149,,2.6979,5.1263,0.1499,,46.7843,5.8302,1.6281,13.0836,,
IE000D6810F1,0.3607,7.8,2.1216,,,3.4391,9.1569,,14.9165,9.9323,2.4688,,41.9832,6.0391,1.5431,0.2388,,
IE000D8FCSD8,,0.29,,,,,97.75,1.26,,,,,,,,,,0.71
IE000D8XC064,2.9219,8.0173,4.4714,,,4.5315,16.1123,,9.1048,11.6759,1.6412,,30.6623,8.585,1.8333,0.4431,,
IE000D9S4LT3,1.05,,,,,2.06,3.45,88.79,,,,,,,0.53,,,4.12
IE000D9WMGF0,5.64,8.57,6.26,,,4.17,39.55,0.1,5.54,11.23,,,5.97,6.07,6.88,,,0.02
IE000DB78H45,4.06,16.25,7.17,,,3.9,29.51,,8.22,17.75,,,5.68,1.94,5.54,-0.02,,
IE000DD75KQ5,4.3876,8.5269,4.5726,,,4.2333,16.76,,8.5463,11.4011,2.053,,29.8714,7.3242,2.3206,,,
IE000DE2VF85,,,,,,,,,,,,,,,,,,
IE000DHPZ1N9,1.72,7.38,2.15,,,8.72,30.78,4.69,1.1,12.46,,,5.49,2.76,5.6,,,17.16
IE000DHZXD61,,,,,,,,,,,,,,,,,,
IE000DKL1700,,,,,,,,100.0,,,,,,,,,,
IE000DN0XQM1,,,,,,,,,,,,,,,,,,
IE000DN1DKF8,2.21,5.32,8.96,,,2.3,14.05,,9.01,8.97,,,44.88,0.85,2.18,,,1.38
IE000DNSAS54,4.2504,6.1232,3.8918,,,1.3944,20.7956,,4.1398,5.8822,2.6464,,43.3504,5.4773,1.531,,,0.5174
IE000DOZYQJ7,,,,,,,,,,,,,,,,,,
IE000DPO6LM8,8.12,7.6,7.71,,,3.9,23.04,,9.15,19.21,,,12.51,1.28,6.62,,,0.87
IE000DQAQ6J3,7.06,7.72,6.65,,,4.55,27.67,,13.16,17.8,,,9.94,1.78,3.32,,,0.35
IE000DR59CI3,34.5239,2.2916,,,,,,,,35.285,,,27.7461,,,0.1536,,
IE000DS9ZCL4,12.53,3.84,8.59,,,2.33,19.47,,4.54,17.02,,,27.12,0.37,3.08,,,1.12
IE000DSDL3Z6,4.03,5.84,8.5,,,3.25,19.13,,8.07,9.78,,,36.13,1.55,2.46,,,1.26
IE000DT6MI20,9.67,16.37,3.05,,,10.68,18.45,0.04,4.95,18.88,,,4.13,7.72,6.02,,,0.05
IE000DTA2ZH9,4.87,6.53,11.77,,,4.05,24.49,,13.71,8.61,,,19.12,1.22,3.51,,,2.12
IE000DUDS685,9.11,17.0,4.03,,,1.98,17.91,0.9,6.94,17.06,,,2.78,14.82,7.07,,,0.4
IE000DUSV4J5,,,,,,,,,,,,,,,,,,
IE000DVHJV46,,10.3792,14.1224,,,0.2515,14.0392,,2.2453,3.1066,,,45.4181,10.3074,,,,0.1303
IE000DVLBQ03,5.0633,8.9402,6.464,,,4.5101,15.9636,,12.9281,15.8423,5.4469,,14.6591,3.9477,5.7619,0.4727,,
IE000DVPTMD5,9.3606,13.5143,4.8943,,,6.5212,27.4312,,8.4509,12.9827,,,6.9748,4.3937,,,,5.4763
IE000DWHL026,,,,,,,,,,,,,,,,,,
IE000DYQE2Q3,,,,95.6865,,,,0.4549,,,,,,,,3.8587,,
IE000E02WFD5,,,,,,,,100.0,,,,,,,,,,
IE000E0NL9T3,4.26,7.66,10.88,,,2.48,36.57,4.58,7.08,11.37,,,3.27,7.63,8.24,,,0.54
IE000E0V65D8,1.0172,11.7089,3.2091,,,1.4617,16.3719,,10.1949,11.7215,2.0776,,35.7687,3.4172,0.7277,,,2.3236
IE000E47O2D3,1.4882,8.3022,5.8252,,,4.0911,11.7502,,9.8344,6.4858,1.9258,,35.5074,9.8831,1.9932,2.9134,,
IE000E4BATC9,3.1002,8.3429,2.2269,,,,18.323,,10.3725,10.2466,2.0734,,31.7712,11.6679,0.4604,,,1.4151
IE000E6TPCH9,3.22,5.53,7.88,,,1.44,17.73,,3.49,18.61,,,38.08,4.0,,0.02,,
IE000E77RQE2,,,,,,,,,,,,,,,,,,
IE000E7EI9P0,0.16,,,,,,0.73,,0.03,2.5,,,96.57,,,,,
IE000E9W0ID3,,,,,,,,,,,,,,99.6588,,0.3412,,
IE000E9XXE77,4.0857,8.2336,5.3076,,,3.3229,26.5978,,5.5121,20.3677,0.4212,,16.5833,2.3859,6.8424,0.3398,,
IE000EA7I2N5,,,,,,,,99.6913,,,,,,,,0.3087,,
IE000EB0LQO5,1.3999,6.7411,6.5471,,,5.9437,14.3437,,9.3333,9.7297,1.2868,,27.1019,9.7611,4.1549,3.6569,,
IE000EBFYWX3,,,,,,,,,,,,,,,,,,
IE000EBPC0Z7,0.19,6.65,14.69,,,,14.56,,12.03,9.44,,,38.46,,3.52,,,0.46
IE000EC86C06,3.67,,0.85,,,1.52,25.96,47.13,,3.93,,,,,16.87,,,0.07
IE000EDRD2Z8,1.02,5.6,1.5,,,1.03,68.64,2.91,0.82,10.16,,,,1.57,4.98,,,1.77
IE000EEJLWG1,,,,,,,,,,,,98.5323,,,,1.4677,,
IE000EETFH77,1.8063,7.8666,4.2489,,,,13.447,,9.7461,8.9635,2.3569,,39.7803,8.7833,2.9127,0.0862,,0.0022
IE000EFHIFG3,,9.81,0.13,,,,,,,2.45,,,71.3,16.3,,,,0.01
IE000EGGFVG6,,,,,,,,,,,,,,,,,,
IE000EHPAS96,3.2582,8.3821,4.5981,,,3.9068,17.7106,,9.3428,10.6942,,,30.1515,7.6355,2.2881,0.3443,,1.6878
IE000EJ2EHO7,2.24,4.4,13.09,,,4.26,17.28,,14.72,8.19,,,23.67,5.42,6.5,,,0.23
IE000EJFRI08,0.8,6.69,2.55,,,0.44,5.37,,5.54,9.19,,,68.85,0.09,0.29,,,0.19
IE000EKG45L0,,,,,,,,99.9146,,,,,,,,0.0854,,
IE000ELFEBZ3,4.19,4.82,14.79,,,4.24,22.56,,12.24,10.16,,,19.43,1.5,3.66,,,2.41
IE000ELHT1P5,3.39,7.56,7.81,,,8.47,29.35,,10.47,7.95,,,13.48,6.31,5.2,,,
IE000ENYES77,,,,,,,97.01,,,1.24,,,1.68,,,,,0.07
IE000EOFR2K5,,,,,,,,,,,,,,,,,,
IE000EPIJ442,98.74,,,,,,,,,,,,,,,,,1.26
IE000EPX8KB7,,,,,,,,,,,,,,,,,,
IE000EQGURT5,0.6,,,,,,,,,1.78,,,97.62,,,,,
IE000ER61U30,8.4128,9.937,3.6244,,,0.3914,19.4374,,7.4127,25.4599,10.3713,,7.9123,5.7994,1.0755,,,0.1661
IE000ESLTCW9,,,,,,,,100.0,,,,,,,,,,
IE000EUY91Y9,3.14,5.92,5.98,,,6.42,40.96,0.07,6.25,8.97,,,6.0,5.02,10.78,,,0.49
IE000EVOVOG1,1.8829,10.6023,4.3358,,,4.0539,14.4623,,12.1332,7.2431,1.6759,,31.921,10.3597,1.3217,,,0.0082
IE000EVUY6K9,9.03,19.4,2.75,,,8.91,17.31,0.31,5.57,19.25,,,6.84,5.7,4.59,,,0.38
IE000EXUE0G2,1.09,5.67,11.93,,,0.53,0.95,,3.79,4.09,,,67.86,1.26,1.24,,,1.67
IE000F04HGE5,1.14,7.61,3.04,,,,75.49,1.91,3.14,1.9,,,2.35,1.9,,,,1.52
IE000F0DNOJ1,3.91,7.06,6.95,,,2.73,17.99,,9.92,10.45,,,37.2,1.71,1.67,,,0.42
IE000F16FMX1,,,,,,,,100.0,,,,,,,,,,
IE000F215NJ2,,,,,,,,,,,,,,,,,,
IE000F2IX674,10.3609,9.6474,2.6581,,,3.7183,16.3598,,11.0751,20.7195,6.3791,,14.2186,3.4315,1.4318,,,
IE000F354Q61,8.0404,9.1096,3.7031,,,4.6924,13.4169,,10.5151,16.7549,7.1277,,12.0524,2.7486,2.44,,,9.399
IE000F37PGZ3,3.67,6.18,5.2,,,0.08,55.13,,7.41,8.64,,,3.93,7.03,2.3,,,0.43
IE000F472DU7,,,,,,,39.89,59.65,,,,,,,,,,0.46
IE000F60HVH9,1.8396,9.698,2.3037,,,,11.7244,,10.0167,8.0638,1.8057,,41.1487,10.5463,,,,2.8531
IE000F6G1DE0,2.5052,10.9401,11.6612,,,2.8076,44.9824,,,8.8338,2.4506,,3.2949,5.2297,7.247,0.0475,,
IE000F6XDNZ5,,,,,,,,99.9021,,,,,,,,0.098,,
IE000F7TZ3H9,,2.76,5.56,,,,22.76,,12.76,4.36,,,50.26,0.66,0.58,,,0.3
IE000F8RXD33,,,,,,,,,,,,,,,,,,
IE000F9AQNW6,3.69,13.01,4.08,,,2.76,28.45,,7.77,8.93,,,28.93,1.94,,,,0.44
IE000F9IDGB5,3.76,5.71,8.7,,,3.29,18.69,,9.25,11.12,,,34.52,1.35,2.55,,,1.06
IE000FASRFS4,,,,,,,,,,,,,,,,,,100.0
IE000FCGBU62,100.0,,,,,,,,,,,,,,,,,
IE000FDU4IY8,,,,,,,,,,,,,,,,,,
IE000FF2EBQ8,2.06,1.76,1.08,,,,14.41,,1.05,37.61,,,15.85,11.3,13.95,,,0.93
IE000FG3UNB8,,,,,,,100.0,,,,,,,,,,,
IE000FGFJT15,,,,,,,,,,,,,,,,,,
IE000FHBZDZ8,0.4541,1.5567,2.2978,,2.2015,0.9863,6.5917,65.542,,1.4605,0.4303,9.3537,1.3667,1.2677,1.6225,2.5049,2.8148,
IE000FI414K7,,0.552,,,,,,,,,98.1081,,,,,1.3399,,
IE000FJJZA01,,4.2432,5.2809,,,0.3501,17.2618,,16.5745,3.5451,,,43.3557,9.3886,,,,
IE000FK14CA5,5.54,23.48,1.85,,,,26.68,,9.91,12.06,,,10.69,6.4,1.41,,,1.98
IE000FKMC6O9,0.15,4.58,4.15,,,1.29,43.31,10.42,1.39,7.88,,,4.56,2.48,6.28,,,13.52
IE000FL46JJ1,5.91,10.11,7.74,,,3.55,21.55,,12.2,16.16,,,14.37,1.11,6.12,,,1.18
IE000FMF9DG3,,,,,,,,,,,,,,,,,,
IE000FNVOB27,2.87,2.47,6.79,,,,22.72,,3.89,9.23,,,47.78,1.57,2.69,,,
IE000FO05UG4,2.21,5.32,8.96,,,2.3,14.05,,9.01,8.97,,,44.88,0.85,2.18,,,1.38
IE000FO1A5D1,5.91,10.11,7.74,,,3.55,21.55,,12.2,16.16,,,14.37,1.11,6.12,,,1.18
IE000FOSCLU1,2.8264,6.3284,5.0327,,,,29.3029,,6.1773,21.1805,2.2493,,17.4165,2.5313,6.6402,0.3144,,
IE000FP52WM7,,,,,,,,,,,,,,,,,,
IE000FPWSL69,6.36,6.17,6.57,,,4.74,23.5,,8.1,11.39,,,25.61,3.83,2.83,,,0.92
IE000FQ808R5,,,,,,,,,,,,,,,,,,
IE000FQYTH79,,,,,,,97.24,,,0.83,,,1.61,,,,,0.32
IE000FRX67F3,,,,,,,12.28,87.87,,,,,,,,,,
IE000FSN19U2,,8.9637,4.3694,,,3.6687,11.9816,,9.2603,8.4742,,,38.0365,9.7506,1.987,,,3.508
IE000FVQW7E7,1.33,4.8,1.77,,,3.94,47.85,,9.9,4.02,,,9.92,5.86,8.7,,,1.91
