isin,NVIDIA Corp.,Apple,Microsoft Corp,"Taiwan Semiconductor Manufacturing Co., Ltd.",ASML Holding NV,"Amazon.com, Inc.","Alphabet, Inc. A",Broadcom Inc.,"Alphabet, Inc. C",Meta Platforms,Micron Technology,"Samsung Electronics Co., Ltd.",Siemens AG,HSBC Holdings Plc,SAP SE,Novartis AG,Allianz SE,"SK hynix, Inc.",Tencent Holdings Ltd.,Roche Holding AG,AMD,Schneider Electric SE,Banco Santander SA,Shell Plc,AstraZeneca PLC,JPMorgan Chase & Co.,Eli Lilly & Co.,"Visa, Inc.",Iberdrola SA,Tesla
DE0005933949,,,,,13.74,,,,,,,,5.07,7.84,,6.39,,,,6.57,,,4.42,5.35,5.66,,,,,
DE0005933956,,,,,8.7,,,,,,,,4.67,,3.57,,3.72,,,,,3.72,4.07,,,,,,2.92,
DE0005933964,,,,,,,,,,,,,,,,8.74,,,,9.11,,,,,,,,,,
DE0005933972,,,,,,,,,,,,,,,17.13,,,,,,,,,,,,,,,
DE0005933980,,,,,4.97,,,,,,,,1.83,2.83,,2.31,,,,2.38,,,1.6,1.94,2.05,,,,,
DE0005933998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE0006289309,,,,,,,,,,,,,,,,,,,,,,,14.07,,,,,,,
DE0006289382,7.68,9.03,8.96,4.94,,6.95,4.11,5.54,3.31,3.57,,,,,,,,,,,,,,,,2.83,,,,
DE0006289390,,,5.13,,,,,,,,,,,,,,,,,,,,,,,3.99,,4.16,,
DE0006289465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE0006289473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE0006289481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE0006289499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE000A0D8Q07,,,,,7.78,,,,,,,,2.87,,2.19,,2.28,,,,,2.28,2.5,,,,,,1.79,
DE000A0D8Q23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE000A0D8Q31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE000A0D8Q49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE000A0D8QZ7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE000A0F5UE8,,,,,,,,,,,,,,,,,,,9.85,,,,,,,,,,,
DE000A0F5UF5,7.87,8.16,5.59,,,4.22,3.24,3.07,3.04,2.66,4.54,,,,,,,,,,3.64,,,,,,,,,
DE000A0F5UG3,,,,,,,,,,,,,8.01,,,,,,,,,6.11,,,,,,,5.05,
DE000A0F5UH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE000A0F5UJ7,,,,,,,,,,,,,,15.04,,,,,,,,,8.5,,,,,,,
DE000A0F5UK5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE000A0H0728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE000A0H0744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE000A0H0785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE000A0H08D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
